股票代码,公司简称,提问者,提问时间,问题内容,公司回复,回复者,indexId
2594,比亚迪,irm2774592,2026/3/30 20:33,请公司按时披露重要信息,,,2.23457E+18
2594,比亚迪,cninfo687410,2026/3/30 9:57,2025年公司为什么只拿出利润的十分之一进行分红，是不是不在意小股东利益？,,,2.23424E+18
2594,比亚迪,irm3248386,2026/3/30 4:02,公司是否已经从销量察觉汽车产品设计与定位问题？目前三大问题：一是设计风格不稳定，例如汉L唐L造型的失败。王朝系列应该沉稳大气，海洋网应年轻活力，方程豹越野方正潮流，腾势走商务舒适，仰望应简约霸气。二是价格混乱，应该明确渐分层。同一价格区间有太多同质化车型，导致消费者难以抉择。三是车型混乱，新出车型太多，大部分颜值不尽人意。导致精品车型少，只能打造少数爆款车型，难以树立明确的形象口碑。,,,2.23406E+18
2594,比亚迪,irm3250802,2026/3/29 17:39,董秘，您好！作为一名长期持有比亚迪公司的小股东，希望您向董事会转达我的个人建议。比亚迪公司近几年要少分红或者不分红，本次股东大会不要通过分红方案，而要将分红的资金用于迅速的扩大闪充站建设速度和用于固态电池研发投入。谢谢！,,,2.23374E+18
2594,比亚迪,irm2774592,2026/3/11 18:00,你们怎么结合AI进行技术创新？,尊敬的投资者，您好！汽车制造的应用是AI落地好的场景，公司一方面引入AI工具聚焦核心工作环节、激发研发灵感，推动经营效率与质量提升；另一方面利用AI赋能动力系统、智能座舱、智能驾驶等领域能力不断进化，持续优化消费者体验感，实现产品与功能的迭代进化。感谢您的关注！,比亚迪,2.22039E+18
2594,比亚迪,cninfo1370584,2026/3/6 22:01,昨天看完比亚迪的发布会，二代刀片非常的震撼，公司是否考虑下沉市场做两轮的电动车，或者考虑和华为一样提供技术给两轮电动车。个人认为这个市场是非常巨大的。,尊敬的投资者，您好！公司小动力电池可应用于各种领域，包括电动工具、清洁电器、电动二轮车、启停电池、机器人、小储能、微型电动车等领域。感谢您对公司的关注！,比亚迪,2.2168E+18
2594,比亚迪,cninfo1203082,2026/3/27 11:39,请问公司的闪充站大规模建设过程中闪充站场地及设施设备资产的所有权是比亚迪公司还是合作建站方？相关的固定资产是否计入公司财务报表中摊销。建站过程中的固定资产以及场地费用由分别由哪方出资？,,,2.23207E+18
2594,比亚迪,irm2774592,2026/3/26 18:07,公司储能收入占比太少了吧。怎么拓展和提升？,,,2.23152E+18
2594,比亚迪,irm3190605,2026/3/5 23:38,"今日全程观摩了贵比亚迪闪充的发布会，晚上特地去了超充站看
发现充电枪线上写的鑫宏利三个字，请问是我们知道的上市公司鑫宏利301310的产品吗？
他们建设项目包含其他吗？",尊敬的投资人，您好！公司的供应链合作及相关技术参数，属于商业保密范畴，请咨询相关公开信息。感谢关注！,比亚迪,2.21611E+18
2594,比亚迪,irm2293573,2026/3/2 12:26,建议公司收购魅族，打造自己的手机产业，未来手机跟汽车一体，让人们时刻离不开比亚迪，比短期利润更重要。,尊敬的投资者，您好！感谢关注！,比亚迪,2.21354E+18
2594,比亚迪,irm3235999,2026/3/24 7:57,问，海外业务业绩今年预估会增长多少,尊敬的投资者，您好！相关信息请以官方发布为准。感谢您对公司的关注！,比亚迪,2.22973E+18
2594,比亚迪,irm2774592,2026/3/25 22:30,你们有无飞行汽车参与低空的设计？,您好！比亚迪一直秉承用技术创新，满足人们对美好生活的向往，持续关注消费者的需求，并适时推出符合需求的产品。感谢您对公司的关注！,比亚迪,2.23092E+18
2594,比亚迪,cninfo636625,2026/3/6 11:06,昨天的发布会新闪充技术非常震撼。但是有个问题，节假日是高速出行高峰期，高速超充站的建设是单独拉线建设的吗？因为感觉一个储能单元，充不了几辆车就没电了。即使单独拉线了，会不会对现有电网容量结构造成冲击？,尊敬的投资者，您好！闪充能带来高翻台率，同时系统能够在闪充补能间隙持续为闪充系统补电，闪充站和终端完全有能力支撑连续不间断的日常运营。系统在工作时，电网输入与闪充系统放电始终处于“边充边补”的动态平衡状态。感谢您对公司的关注！,比亚迪,2.21646E+18
2594,比亚迪,irm2774592,2026/3/5 19:10,你可以把充电桩布置在中国石油中国石化加油站，跟他们合作，互利双赢,尊敬的投资者，您好！公司以开放的姿态探索商业合作模式，全国现有的充电网络运营商不仅不是竞品，反而被公司视为推行闪充战略“最坚实的基座”。通过与这些现有场站直接合作建设“闪充站中站”，比亚迪站在行业的肩膀上借力发展，让闪充站能够服务更多车主：一线城市保持3公里服务半径，用户大概5分钟可达；二、三线城市5公里布局，满足通勤需求；四、五线城市则以6公里间距，适配更庞大的消费市场。感谢您对公司的关注！,比亚迪,2.21597E+18
2594,比亚迪,irm3162427,2026/3/24 21:34,贵公司是否可以考虑加强与紫光展锐的合作，通过深度合作定制低端5G芯片（紫光展锐是世界上少数几个可以自研5G基带的公司），这样做既可以提高技术力又可以降低SOC采购成本（中芯国际代工），从而增厚贵公司在第三世界不发达市场的护城河。况且，紫光展锐处于IPO前期，贵公司能提供的市占率的提升正是紫光展锐所迫切需要的，合作应该容易以优惠条件达成,尊敬的投资者，您好！感谢您对公司的关注！,比亚迪,2.23015E+18
2594,比亚迪,irm2293573,2026/3/16 13:35,现有车型除了方程豹都乏善可陈，用鲨鱼皮卡的前脸做一个硬派的SUV，这款车型不香吗？,尊敬的投资者，您好！感谢您对公司车型设计相关的建议！,比亚迪,2.22396E+18
2594,比亚迪,irm1364795,2026/3/16 10:22,关于加强风险防范的提醒和建议（3）：为此，建议比亚迪：1）加强技术保密和核心人才保护工作。2）现阶段仍应以进一步提高国内产品市占率为发展的重中之重，控制好海外市场营销宣传和投资建厂的节奏和力度，比如对在美欧日具有强大影响力的地区的产品营销和投资建厂要克制，对参与F1赛事等需要投入重金的项目要慎之又慎。3）目前比亚迪海外市场的拓展似乎有点过于顺利了，事出反常必有幺，比亚迪在这种时候更应该保持清醒。,尊敬的投资者，您好！感谢您对公司的关注及建议！,比亚迪,2.22386E+18
2594,比亚迪,irm1364795,2026/3/16 10:16,关于加强风险防范的提醒和建议（2）：为应对比亚迪的威胁和挑战，这些利益集团一方面会通过加紧研究、学习、模仿甚至偷窃比亚迪的技术来追赶比亚迪，另一方面也会利用比亚迪当下急于拓展海外市场的心理，想方设法设计出各种法律的、财务的、营销的、投资的诱耳和陷阱，达到损害、甚至搞垮比亚迪的目的。,尊敬的投资者，您好！感谢您对公司的关注及建议！,比亚迪,2.22386E+18
2594,比亚迪,irm1364795,2026/3/16 10:11,关于加强风险防范的提醒和建议（1）：比亚迪闪充的全面落地铺开，虽然给比亚迪带来了空前的竞争优势和发展空间，但也让比亚迪处于比以往任何时候更危险的境地，因为它对全球太多经济、政治利益集团的核心利益构成了潜在巨大威胁。这些利益集团，尤其是以燃油车为经济支柱的欧美日绝不会坐视比亚迪迅速壮大，抢走它们在全球的市场和利润，导致通用、大众、丰田、BBA等一众车企破产倒闭，并造成本国大量失业。,尊敬的投资者，您好！感谢您对公司的关注！,比亚迪,2.22386E+18
2594,比亚迪,irm3216613,2026/3/16 5:25,"尊敬的王董：
向您提出一项核心战略建议：将全国高密度闪充基础设施网络，提升至集团最高战略优先级，其重要性远高于车型研发与参数竞争，以此换道领跑，奠定比亚迪未来数十年的绝对龙头地位。
建议比亚迪以统一、极具辨识度的视觉标识，在全国城乡、高速、区县全面铺开闪充站，实现高密集覆盖，让比亚迪闪充站如同中石油、中石化加油站一样随处可见、深入人心。抢占用户心智与销售制高点.20万不够，加大力度抢占先机。",尊敬的投资者，您好！感谢您对公司的战略的认可！,比亚迪,2.22371E+18
2594,比亚迪,irm3183810,2026/3/14 16:18,董秘你好，贵公司的电池做的这么好，有没有想过增加一下充电宝业务？现在充电宝行业参差不齐，选择困难，目前都在搞国家标准和溯源标准，贵公司的电池这么安全，高效！直接增加一个充电宝业务这个蓝海市场，我想大有可为。,您好！公司一直秉承用技术创新，满足人们对美好生活的向往，持续关注消费者的需求，并适时推出符合需求的产品。感谢您对公司的关注及建议！,比亚迪,2.22256E+18
