date,open,high,low,close,volume,amount,pct_chg,code
2020-01-02,10509.1240,10663.5540,10479.7730,10638.8240,39325746944,424347406336.0000,1.994657,399001
2020-01-03,10666.6550,10689.5910,10594.3570,10656.4060,37418270208,405405339648.0000,0.165263,399001
2020-01-06,10599.4110,10799.5790,10577.7820,10698.2730,43964164608,472892674048.0000,0.392881,399001
2020-01-07,10725.1770,10829.0450,10723.8570,10829.0450,41449962752,444165763072.0000,1.222366,399001
2020-01-08,10776.7070,10851.2810,10681.0240,10706.8680,46250691072,472740642816.0000,-1.128234,399001
2020-01-09,10807.0370,10899.4820,10807.0370,10898.1660,39659111424,434903322624.0000,1.786685,399001
2020-01-10,10927.9810,10933.8050,10833.5190,10879.8420,35568971264,398600765440.0000,-0.168138,399001
2020-01-13,10893.9950,11040.2010,10851.7190,11040.2010,34527366400,409505554432.0000,1.473909,399001
2020-01-14,11074.8860,11086.8080,10983.4150,10988.7670,37729812224,430400618496.0000,-0.465879,399001
2020-01-15,10978.2810,11001.8050,10882.7870,10972.3160,33123327232,378160533504.0000,-0.149707,399001
2020-01-16,10986.6480,11008.2080,10934.7240,10967.4350,31796837376,375957684224.0000,-0.044485,399001
2020-01-17,11001.6770,11045.2500,10927.8400,10954.3880,30482010368,365143216128.0000,-0.118961,399001
2020-01-20,10981.5040,11115.8840,10936.8030,11115.8840,33062551296,408001032192.0000,1.474259,399001
2020-01-21,11077.6570,11078.0390,10948.5760,10953.4130,33854080512,404258430976.0000,-1.461611,399001
2020-01-22,10896.5540,11105.6900,10761.6760,11072.0570,35209008128,429531267072.0000,1.083169,399001
2020-01-23,10947.8570,11025.9950,10572.2650,10681.9040,40289425920,481547538432.0000,-3.523763,399001
2020-02-03,9706.5790,9934.3490,9706.5790,9779.6680,19544992256,262459731968.0000,-8.446397,399001
2020-02-04,9578.8660,10095.6900,9578.8660,10089.6660,51156007936,536037347328.0000,3.169821,399001
2020-02-05,10159.5520,10445.0930,10148.2430,10305.4980,45467182592,523099590656.0000,2.139139,399001
2020-02-06,10306.1150,10633.1650,10214.8110,10601.3420,48110943488,554856050688.0000,2.870739,399001
2020-02-07,10569.6520,10629.1490,10441.9030,10611.5510,48961955840,567200989184.0000,0.096299,399001
2020-02-10,10577.5570,10730.0530,10551.5380,10728.4590,47089083648,544274325504.0000,1.101705,399001
2020-02-11,10749.9730,10839.1850,10678.1060,10768.6270,41781519104,483068698624.0000,0.374406,399001
2020-02-12,10735.0470,10944.6290,10724.0840,10940.7950,42014176256,492545458176.0000,1.598792,399001
2020-02-13,10936.5010,10988.2310,10820.9170,10864.3220,45529039872,536585011200.0000,-0.698971,399001
2020-02-14,10854.4550,11017.6450,10822.1330,10916.3110,41709336832,504892465152.0000,0.478530,399001
2020-02-17,10974.9320,11241.4990,10974.9320,11241.4990,48111496448,570188828672.0000,2.978918,399001
2020-02-18,11244.7650,11306.4860,11143.3870,11306.4860,52809083648,624947511296.0000,0.578099,399001
2020-02-19,11300.1610,11387.9920,11229.5510,11235.5950,53776285184,657484296192.0000,-0.626994,399001
2020-02-20,11278.8740,11519.0730,11248.9020,11509.0870,55171062016,654664638464.0000,2.434157,399001
2020-02-21,11506.6730,11727.8880,11493.6320,11629.6980,60039173376,725971468288.0000,1.047963,399001
2020-02-24,11620.6310,11809.7490,11548.4090,11772.3750,62054634752,770457501696.0000,1.226833,399001
2020-02-25,11537.5530,11869.4060,11350.2750,11856.0810,73050583040,902187397120.0000,0.711037,399001
2020-02-26,11677.6280,11770.5080,11453.6860,11497.5530,68651309824,817348521984.0000,-3.024001,399001
2020-02-27,11555.8180,11684.4970,11401.3230,11534.0180,55169482496,654632005632.0000,0.317154,399001
2020-02-28,11150.6590,11338.3490,10962.2420,10980.7740,61089043712,696848228352.0000,-4.796629,399001
2020-03-02,11115.4590,11457.4160,11053.2880,11381.7610,53240554752,632086433792.0000,3.651719,399001
2020-03-03,11597.6630,11734.1770,11378.7630,11484.2110,60166615296,728950349824.0000,0.900124,399001
2020-03-04,11411.5970,11501.7960,11273.2630,11493.0210,51334824704,602117062656.0000,0.076714,399001
2020-03-05,11644.4070,11739.8360,11521.2930,11711.3720,59305420288,689195540480.0000,1.899857,399001
2020-03-06,11555.4580,11690.2000,11541.7810,11582.8150,53885673984,580104347648.0000,-1.097711,399001
2020-03-09,11363.7949,11407.4723,11100.9134,11108.5480,58473479978,648077340380.9210,-4.094582,399001
2020-03-10,11016.9238,11406.3047,10916.9461,11403.4665,58135515476,656502529541.3840,2.654879,399001
2020-03-11,11436.4378,11444.7814,11197.0928,11200.0502,52958021967,594063173445.3080,-1.783811,399001
2020-03-12,11022.4012,11070.4066,10842.3807,10941.0135,46570794670,509406994353.3570,-2.312817,399001
2020-03-13,10382.2213,10956.5086,10380.1711,10831.1250,52900453782,573701912360.6780,-0.990366,399001
2020-03-16,10867.6626,10867.6626,10217.9324,10253.2846,52048261524,587677958038.1830,-5.334999,399001
2020-03-17,10337.9189,10449.3274,9885.8614,10202.7534,44916428758,495073156439.9480,-0.492829,399001
2020-03-18,10294.9555,10479.7831,10029.5687,10029.5687,45258080567,518373879323.7040,-1.697431,399001
2020-03-19,10023.1210,10101.8034,9719.4923,10019.8582,43223774821,491949299374.1940,-0.096819,399001
2020-03-20,10150.7840,10174.5088,9964.2858,10150.1252,38004697447,435458534975.1410,1.300088,399001
2020-03-23,9828.8987,9929.9636,9659.3480,9691.5337,38811461512,418985613298.0880,-4.518087,399001
2020-03-24,9900.2203,9945.9199,9634.9677,9921.6831,39835928443,433528584902.3720,2.374747,399001
2020-03-25,10171.4653,10255.5790,10111.3621,10241.0761,41683938177,458152117849.0720,3.219141,399001
2020-03-26,10161.9422,10281.5724,10112.6202,10155.3593,37299227467,394186890299.4070,-0.836990,399001
2020-03-27,10300.6192,10310.5324,10105.7185,10109.9066,34500987545,380281699833.0270,-0.447574,399001
2020-03-30,9953.0364,9985.3789,9791.0227,9904.9511,35663136928,382440662636.9600,-2.027274,399001
2020-03-31,10008.0257,10047.9784,9925.6798,9962.3047,31534832328,337468972411.7540,0.579040,399001
2020-04-01,9967.1158,10127.0970,9927.9208,9951.8367,33307952567,359216781570.2940,-0.105076,399001
2020-04-02,9910.3773,10179.2045,9896.6464,10179.2045,32820076188,364617023206.5190,2.284682,399001
2020-04-03,10155.5629,10212.9087,10069.6440,10110.1129,32003127097,358276718557.7880,-0.678752,399001
2020-04-07,10312.7148,10441.7414,10296.7194,10428.9132,40185831806,445455425342.4450,3.153281,399001
2020-04-08,10372.7625,10426.4015,10344.4419,10386.5453,39687723477,420856344171.4240,-0.406254,399001
2020-04-09,10453.8559,10485.2968,10401.1705,10463.0463,37741883171,405778525241.5480,0.736539,399001
2020-04-10,10459.6992,10509.0039,10265.8840,10298.4127,39477343661,425685347698.1270,-1.573477,399001
2020-04-13,10225.5297,10295.1687,10173.1226,10223.1633,29803433754,314914999773.0140,-0.730689,399001
2020-04-14,10300.9622,10475.7052,10276.3650,10475.7052,32983875791,365721826479.9840,2.470291,399001
2020-04-15,10468.4629,10528.7349,10404.5092,10417.3744,37919930676,409439234958.2140,-0.556820,399001
2020-04-16,10361.7653,10489.1342,10346.1096,10470.7936,34870380920,372555755332.6900,0.512789,399001
2020-04-17,10562.8976,10624.5417,10507.8024,10527.9907,40149237971,460267368501.4660,0.546254,399001
2020-04-20,10553.5476,10621.4968,10523.5916,10621.4968,34015623714,383529246109.0300,0.888167,399001
2020-04-21,10577.7187,10577.7187,10394.4398,10506.8566,35933329193,400623067994.9690,-1.079322,399001
2020-04-22,10424.4501,10617.1925,10409.8521,10617.1925,34484857059,373179059514.5500,1.050132,399001
2020-04-23,10657.3995,10667.0113,10557.9433,10564.0458,38280972869,407896394021.0080,-0.500572,399001
2020-04-24,10565.0868,10577.0288,10388.6613,10423.4622,37291139586,381097203000.1700,-1.330774,399001
2020-04-27,10449.1265,10531.3918,10367.2922,10452.1708,32036978713,331351587770.7600,0.275423,399001
2020-04-28,10477.7614,10547.7453,10194.1515,10501.1471,38469152976,403372452600.1100,0.468575,399001
2020-04-29,10460.9947,10586.5717,10449.3732,10514.1731,29023198868,310081884005.8800,0.124044,399001
2020-04-30,10575.5242,10751.7477,10575.5242,10721.7796,34810253127,401656708729.9900,1.974539,399001
