date,shibor_3m
2020-01,2.994
2020-02,2.852
2020-03,2.408
2020-04,1.918
2020-05,1.4
2020-06,1.456
2020-07,2.122
2020-08,2.595
2020-09,2.64
2020-10,2.708
2020-11,2.982
2020-12,3.109
2021-01,2.746
2021-02,2.773
2021-03,2.813
2021-04,2.635
2021-05,2.576
2021-06,2.478
2021-07,2.457
2021-08,2.4
2021-09,2.358
2021-10,2.433
2021-11,2.449
2021-12,2.494
2022-01,2.5
2022-02,2.454
2022-03,2.366
2022-04,2.372
2022-05,2.209
2022-06,1.998
2022-07,2.0
2022-08,1.825
2022-09,1.6
2022-10,1.676
2022-11,1.75
2022-12,2.197
2023-01,2.415
2023-02,2.362
2023-03,2.45
2023-04,2.429
2023-05,2.414
2023-06,2.213
2023-07,2.165
2023-08,2.098
2023-09,2.044
2023-10,2.3
2023-11,2.421
2023-12,2.503
2024-01,2.45
2024-02,2.375
2024-03,2.182
2024-04,2.157
2024-05,2.001
2024-06,1.953
2024-07,1.917
2024-08,1.857
2024-09,1.85
2024-10,1.84
2024-11,1.879
2024-12,1.825
2025-01,1.6825
2025-02,1.707
2025-03,1.946
2025-04,1.907
2025-05,1.748
2025-06,1.652
2025-07,1.628
2025-08,1.563
2025-09,1.549
2025-10,1.579
2025-11,1.595
2025-12,1.58
2026-01,1.598
2026-02,1.5889
2026-03,1.5678
