日期,招商银行,中国平安,贵州茅台,五粮液,长城汽车,比亚迪,中兴通讯,海康威视,伊利股份,海天味业
2020-01-02,38.88,86.12,1130.0,132.08,9.2,48.17,35.45,33.91,31.75,108.0
2020-01-03,39.4,86.2,1078.56,130.55,9.17,48.04,36.55,34.17,31.74,105.41
2020-01-06,39.24,85.6,1077.99,129.2,8.96,48.28,36.7,34.41,31.09,103.62
2020-01-07,39.15,86.15,1094.53,129.37,9.15,48.05,36.6,34.4,32.15,106.0
2020-01-08,38.41,85.0,1088.14,128.89,8.98,47.28,35.71,34.08,32.19,106.17
2020-01-09,38.9,85.04,1102.7,130.77,9.1,47.65,37.02,34.65,32.49,107.79
2020-01-10,39.04,84.78,1112.5,133.62,9.13,46.92,37.36,34.36,32.42,107.96
2020-01-13,39.1,86.45,1124.27,139.66,9.08,51.61,37.96,35.23,32.99,108.3
2020-01-14,38.81,86.83,1107.4,138.56,8.94,53.44,36.71,35.36,32.73,105.9
2020-01-15,38.12,85.81,1112.13,140.8,8.8,53.31,36.92,36.7,33.27,107.37
2020-01-16,37.96,85.55,1107.0,140.66,8.68,54.09,37.41,36.8,33.53,108.49
2020-01-17,37.93,86.25,1107.5,138.55,8.74,57.95,38.84,35.67,32.88,109.86
2020-01-20,38.31,87.6,1091.0,137.56,8.86,58.76,40.06,36.12,32.89,112.05
2020-01-21,37.79,85.6,1075.3,132.62,8.6,56.72,38.61,34.99,32.2,111.95
2020-01-22,37.82,85.22,1075.51,131.7,8.7,59.27,40.65,36.61,32.45,109.74
2020-01-23,36.81,83.49,1052.8,126.16,8.35,59.83,39.17,36.0,30.64,107.21
2020-02-03,35.03,77.71,1003.92,113.54,7.52,53.85,35.91,32.47,28.38,101.83
2020-02-04,35.35,80.43,1038.01,114.5,7.56,56.36,38.37,34.18,29.54,102.68
2020-02-05,35.36,80.38,1049.99,117.51,7.64,60.81,38.2,35.1,29.6,104.0
2020-02-06,35.75,81.52,1071.0,119.15,7.75,60.75,39.22,35.5,30.3,105.25
2020-02-07,35.42,81.03,1076.0,120.58,7.72,57.9,38.93,35.2,30.75,106.5
2020-02-10,35.1,80.3,1066.49,121.13,7.8,60.93,40.12,35.03,30.17,105.8
2020-02-11,35.57,81.13,1098.0,124.79,7.82,59.04,40.01,35.56,30.23,107.0
2020-02-12,35.6,81.2,1097.27,124.49,7.85,59.19,40.14,36.0,30.25,107.08
2020-02-13,35.27,80.45,1091.0,124.14,7.98,57.55,39.71,35.96,29.67,104.7
2020-02-14,35.64,81.0,1088.0,123.43,7.97,56.9,39.47,35.74,29.7,104.7
2020-02-17,36.17,82.39,1093.82,124.3,8.66,58.48,43.12,37.15,30.17,105.37
2020-02-18,35.7,81.55,1084.0,123.39,8.71,59.47,43.53,36.83,30.2,103.38
2020-02-19,35.53,81.7,1096.5,126.0,8.56,61.91,43.68,38.17,30.51,103.84
2020-02-20,35.98,83.28,1118.0,130.15,8.6,68.1,44.59,38.79,31.09,105.88
2020-02-21,35.64,82.38,1112.88,130.0,8.86,67.5,45.55,39.4,30.71,104.87
2020-02-24,35.05,80.72,1087.18,127.1,9.19,66.2,50.11,39.05,29.97,103.94
2020-02-25,34.63,80.19,1074.81,125.3,9.56,70.85,55.11,38.35,29.69,102.17
2020-02-26,34.83,79.83,1073.7,124.1,9.23,71.7,50.95,36.9,29.37,100.84
