日期,code,收盘价
2020-01-02,sh.000300,4152.24
2020-01-03,sh.000300,4144.964
2020-01-06,sh.000300,4129.295
2020-01-07,sh.000300,4160.227
2020-01-08,sh.000300,4112.317
2020-01-09,sh.000300,4164.369
2020-01-10,sh.000300,4163.184
2020-01-13,sh.000300,4203.988
2020-01-14,sh.000300,4189.886
2020-01-15,sh.000300,4166.734
2020-01-16,sh.000300,4149.043
2020-01-17,sh.000300,4154.853
2020-01-20,sh.000300,4185.83
2020-01-21,sh.000300,4114.308
2020-01-22,sh.000300,4131.931
2020-01-23,sh.000300,4003.901
2020-02-03,sh.000300,3688.357
2020-02-04,sh.000300,3785.637
2020-02-05,sh.000300,3828.527
2020-02-06,sh.000300,3899.775
2020-02-07,sh.000300,3899.869
2020-02-10,sh.000300,3916.005
2020-02-11,sh.000300,3952.464
2020-02-12,sh.000300,3984.432
2020-02-13,sh.000300,3959.918
2020-02-14,sh.000300,3987.734
2020-02-17,sh.000300,4077.424
2020-02-18,sh.000300,4057.51
2020-02-19,sh.000300,4051.31
2020-02-20,sh.000300,4144.656
2020-02-21,sh.000300,4149.49
2020-02-24,sh.000300,4132.838
2020-02-25,sh.000300,4123.854
2020-02-26,sh.000300,4073.015
2020-02-27,sh.000300,4084.875
2020-02-28,sh.000300,3940.048
2020-03-02,sh.000300,4069.666
2020-03-03,sh.000300,4091.361
2020-03-04,sh.000300,4115.052
2020-03-05,sh.000300,4206.725
2020-03-06,sh.000300,4138.507
2020-03-09,sh.000300,3997.1325
2020-03-10,sh.000300,4082.7315
2020-03-11,sh.000300,4028.4289
2020-03-12,sh.000300,3950.9111
2020-03-13,sh.000300,3895.3128
2020-03-16,sh.000300,3727.8398
2020-03-17,sh.000300,3709.6822
2020-03-18,sh.000300,3636.2565
2020-03-19,sh.000300,3589.0926
2020-03-20,sh.000300,3653.2239
2020-03-23,sh.000300,3530.3058
2020-03-24,sh.000300,3625.1146
2020-03-25,sh.000300,3722.5181
2020-03-26,sh.000300,3698.0472
2020-03-27,sh.000300,3710.0605
2020-03-30,sh.000300,3674.1108
2020-03-31,sh.000300,3686.1551
2020-04-01,sh.000300,3675.0758
2020-04-02,sh.000300,3734.5306
2020-04-03,sh.000300,3713.2183
2020-04-07,sh.000300,3798.0214
2020-04-08,sh.000300,3780.3445
2020-04-09,sh.000300,3792.8105
2020-04-10,sh.000300,3769.1782
2020-04-13,sh.000300,3753.2566
2020-04-14,sh.000300,3825.6991
2020-04-15,sh.000300,3797.3623
2020-04-16,sh.000300,3802.3806
2020-04-17,sh.000300,3839.4871
2020-04-20,sh.000300,3853.4551
2020-04-21,sh.000300,3808.0474
2020-04-22,sh.000300,3839.3834
2020-04-23,sh.000300,3829.7525
2020-04-24,sh.000300,3796.9721
2020-04-27,sh.000300,3822.769
2020-04-28,sh.000300,3849.1465
2020-04-29,sh.000300,3867.032
2020-04-30,sh.000300,3912.5772
2020-05-06,sh.000300,3936.2539
2020-05-07,sh.000300,3924.8946
2020-05-08,sh.000300,3963.6217
2020-05-11,sh.000300,3960.1803
2020-05-12,sh.000300,3960.2378
2020-05-13,sh.000300,3968.2529
2020-05-14,sh.000300,3925.2177
2020-05-15,sh.000300,3912.8159
2020-05-18,sh.000300,3922.9117
2020-05-19,sh.000300,3956.2495
2020-05-20,sh.000300,3935.222
2020-05-21,sh.000300,3913.7949
2020-05-22,sh.000300,3824.064
2020-05-25,sh.000300,3829.3245
2020-05-26,sh.000300,3872.7701
2020-05-27,sh.000300,3845.6135
2020-05-28,sh.000300,3856.6324
2020-05-29,sh.000300,3867.0232
2020-06-01,sh.000300,3971.3402
2020-06-02,sh.000300,3983.5677
2020-06-03,sh.000300,3983.6477
2020-06-04,sh.000300,3982.1851
2020-06-05,sh.000300,4001.2509
2020-06-08,sh.000300,4021.9549
2020-06-09,sh.000300,4047.0293
2020-06-10,sh.000300,4039.7051
2020-06-11,sh.000300,3995.8846
2020-06-12,sh.000300,4003.0829
2020-06-15,sh.000300,3954.9883
2020-06-16,sh.000300,4014.5702
2020-06-17,sh.000300,4017.5941
2020-06-18,sh.000300,4044.3842
2020-06-19,sh.000300,4098.7095
2020-06-22,sh.000300,4102.0459
2020-06-23,sh.000300,4121.7944
2020-06-24,sh.000300,4138.9895
2020-06-29,sh.000300,4109.7164
2020-06-30,sh.000300,4163.9637
2020-07-01,sh.000300,4247.7835
2020-07-02,sh.000300,4335.8445
2020-07-03,sh.000300,4419.5955
