日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,32.9,34.37,32.57,33.91,74984234,2530294947.61
2020-01-03,33.9,34.3,33.69,34.17,47900997,1630745424.36
2020-01-06,34.0,35.12,33.56,34.41,58912538,2035676278.52
2020-01-07,34.45,34.96,34.17,34.4,31456151,1084694852.22
2020-01-08,34.01,34.79,33.9,34.08,36049030,1234135899.75
2020-01-09,34.46,34.78,34.13,34.65,37890997,1305627478.21
2020-01-10,34.47,34.66,34.01,34.36,36442765,1249566932.25
2020-01-13,34.75,35.5,34.5,35.23,50855250,1785657225.55
2020-01-14,35.57,35.6,34.85,35.36,37719451,1330874953.76
2020-01-15,35.32,37.0,35.02,36.7,59945960,2161517159.76
2020-01-16,36.5,36.9,36.16,36.8,45834312,1677054394.31
2020-01-17,36.29,36.55,35.6,35.67,48021052,1732968996.55
2020-01-20,35.6,36.67,35.5,36.12,48803321,1766903916.16
2020-01-21,35.67,36.06,34.88,34.99,49215107,1734473855.45
2020-01-22,34.8,36.8,34.61,36.61,55418587,1993790516.75
2020-01-23,36.01,36.82,35.12,36.0,57062403,2057230929.35
2020-02-03,32.4,34.2,32.4,32.47,84232907,2796702685.74
2020-02-04,32.82,34.29,32.8,34.18,64232348,2177880568.67
2020-02-05,34.3,36.1,33.93,35.1,73555887,2591506575.27
2020-02-06,35.11,35.73,34.41,35.5,50035614,1761107367.17
2020-02-07,35.0,35.5,34.48,35.2,46780370,1635388478.32
2020-02-10,35.02,35.15,34.5,35.03,45266143,1574848744.31
2020-02-11,35.15,35.85,34.58,35.56,51812994,1827309508.99
2020-02-12,35.4,36.11,35.03,36.0,44368267,1579577351.54
2020-02-13,35.9,36.65,35.61,35.96,45628760,1651770269.72
2020-02-14,35.74,36.76,35.35,35.74,53712672,1933923573.88
2020-02-17,35.6,37.24,35.6,37.15,66087167,2414717645.96
2020-02-18,37.08,37.08,36.26,36.83,51012126,1870151058.27
2020-02-19,36.91,38.51,36.57,38.17,98280870,3695422704.53
2020-02-20,38.01,39.13,37.9,38.79,69039830,2663056805.05
2020-02-21,38.79,40.09,38.56,39.4,82072444,3246530781.26
2020-02-24,39.0,39.59,38.51,39.05,61297406,2395026124.23
2020-02-25,37.99,38.6,36.99,38.35,75762316,2879413897.2
2020-02-26,37.77,38.14,36.75,36.9,68380553,2546204276.86
2020-02-27,37.1,37.59,36.2,36.8,51660450,1904767745.11
2020-02-28,35.8,36.7,34.88,35.0,65868848,2346742292.32
2020-03-02,34.98,36.18,34.31,35.6,94881087,3346843896.88
2020-03-03,36.2,36.95,35.5,35.85,79589910,2886939646.94
2020-03-04,35.5,35.82,34.8,35.53,59433860,2095559249.19
2020-03-05,36.35,36.5,35.34,36.18,59922386,2152390761.41
2020-03-06,35.7,35.87,35.08,35.22,48267285,1709746673.1
2020-03-09,34.68,34.69,33.4,33.48,82420136,2795943335.9
2020-03-10,33.01,34.57,33.01,34.4,58991116,1994628076.41
2020-03-11,34.75,34.75,33.8,33.86,40146751,1369682038.16
2020-03-12,33.2,33.38,32.75,32.88,47642899,1572588732.3
2020-03-13,31.5,32.5,30.18,32.04,71395197,2246520554.04
2020-03-16,32.18,32.2,29.88,30.1,74118273,2287783002.12
2020-03-17,30.07,30.6,27.91,29.02,92341873,2682843163.0
2020-03-18,29.4,30.3,29.0,29.0,70173265,2087429742.06
2020-03-19,29.0,29.3,27.76,29.03,77980475,2230432956.5
2020-03-20,29.59,29.76,28.59,29.08,57683610,1675295749.24
2020-03-23,28.02,28.18,27.17,27.18,68195852,1882167393.14
2020-03-24,28.24,28.25,27.0,27.84,60833126,1677744379.29
2020-03-25,28.67,29.25,28.57,28.85,62753459,1811433940.56
2020-03-26,28.85,28.85,28.14,28.32,42842226,1220961247.74
2020-03-27,28.9,28.94,28.29,28.4,44708295,1278946202.31
2020-03-30,27.8,27.8,27.06,27.48,53486792,1462659311.02
2020-03-31,27.88,28.3,27.83,27.9,39635926,1109958358.8
2020-04-01,28.1,29.09,27.87,28.98,73679183,2116047234.36
2020-04-02,28.89,30.45,28.81,30.45,79423520,2357986090.61
2020-04-03,30.6,31.12,30.13,30.78,70059739,2144867625.12
2020-04-07,31.45,31.7,30.51,31.13,74303630,2299332696.06
2020-04-08,30.95,30.95,30.34,30.59,44012282,1345505432.51
2020-04-09,30.67,30.73,29.9,30.09,48998101,1474664218.05
2020-04-10,30.01,30.01,29.09,29.4,40278827,1188959791.87
2020-04-13,29.0,29.36,28.81,29.16,27593331,800761115.07
2020-04-14,29.54,30.23,29.49,30.22,53863033,1611108375.11
2020-04-15,30.3,30.45,29.92,30.03,32362581,974453991.5
2020-04-16,29.8,30.12,29.65,30.1,27452430,821841805.2
2020-04-17,30.39,30.67,30.18,30.24,40885456,1244494153.44
2020-04-20,30.3,31.0,30.24,30.87,43697912,1341889394.77
2020-04-21,30.73,30.73,29.72,29.99,50553550,1519701978.76
2020-04-22,29.7,30.28,29.52,29.98,24833860,743307808.93
2020-04-23,30.23,30.23,29.81,29.9,22648723,679114051.91
