日期,股票代码,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,sh.601633,8.9,9.37,8.87,9.2,26672554,243837877.0
2020-01-03,sh.601633,9.25,9.31,9.08,9.17,16730362,153405789.0
2020-01-06,sh.601633,9.1,9.19,8.93,8.96,22184912,200848247.0
2020-01-07,sh.601633,8.98,9.15,8.95,9.15,18868124,171042491.0
2020-01-08,sh.601633,9.13,9.13,8.92,8.98,15659666,140951200.0
2020-01-09,sh.601633,9.01,9.13,9.01,9.1,12998243,118098185.0
2020-01-10,sh.601633,9.05,9.17,8.91,9.13,18101757,164164241.0
2020-01-13,sh.601633,9.19,9.38,9.01,9.08,25147830,229210600.0
2020-01-14,sh.601633,9.07,9.16,8.93,8.94,23151894,209260027.0
2020-01-15,sh.601633,8.93,8.93,8.75,8.8,20862943,183616980.0
2020-01-16,sh.601633,8.86,8.86,8.68,8.68,18366196,160105389.0
2020-01-17,sh.601633,8.74,8.79,8.67,8.74,13260357,115780953.0
2020-01-20,sh.601633,8.81,8.94,8.8,8.86,16096862,142987994.0
2020-01-21,sh.601633,8.89,8.89,8.6,8.6,18033553,155885297.0
2020-01-22,sh.601633,8.6,8.77,8.4,8.7,13787234,118799395.0
2020-01-23,sh.601633,8.65,8.7,8.2,8.35,17722720,149638737.0
2020-02-03,sh.601633,7.52,7.62,7.52,7.52,20989779,157992142.0
2020-02-04,sh.601633,7.48,7.68,7.4,7.56,30722171,231105980.0
2020-02-05,sh.601633,7.56,7.9,7.56,7.64,31005698,238871402.0
2020-02-06,sh.601633,7.66,7.81,7.56,7.75,17029015,131196054.0
2020-02-07,sh.601633,7.72,7.78,7.55,7.72,22817766,174247102.0
2020-02-10,sh.601633,7.61,7.82,7.57,7.8,20630327,159870077.0
2020-02-11,sh.601633,7.8,7.91,7.76,7.82,16609121,129958696.0
2020-02-12,sh.601633,7.84,7.86,7.75,7.85,10525101,82253785.0
2020-02-13,sh.601633,7.82,8.04,7.82,7.98,21505156,171350366.0
2020-02-14,sh.601633,7.95,8.02,7.87,7.97,14535279,115422279.0
2020-02-17,sh.601633,8.1,8.67,8.1,8.66,40501961,343072654.0
2020-02-18,sh.601633,8.66,8.77,8.51,8.71,29326909,253838645.0
2020-02-19,sh.601633,8.68,8.83,8.55,8.56,18393350,159475711.0
2020-02-20,sh.601633,8.61,8.62,8.46,8.6,20326358,173880182.0
2020-02-21,sh.601633,8.82,8.94,8.66,8.86,32033467,281990906.0
