"ViolationID","Symbol","DisposalDate","DeclareDate","ShortName","CoFullName","Promulgator","FileName","DocumentNumber","Supervisor","ViolationType","ViolationTypeID","Law","ViolationYear","Activity","PunishmentMeasure","SumPenalty","IsViolated","PunishmentType","PunishmentTypeID","Penalty"
"40216566","000530","2026-03-02","2026-03-03","冰山冷热","冰山冷热科技股份有限公司","上市公司","关于公司及相关人员收到大连证监局行政监管措施决定书的公告","行政监管措施〔2026〕6号,行政监管措施〔2026〕7号","其他(大连证监局)","推迟披露、重大遗漏、其他;其他;其他;虚假记载(误导性陈述)、其他;虚假记载(误导性陈述)、其他;虚假记载(误导性陈述)、其他;重大遗漏、其他;重大遗漏、其他","P2504、P2505、P2599;P2599;P2599;P2503、P2599;P2503、P2599;P2503、P2599;P2505、P2599;P2505、P2599","违反了《上市公司信息披露管理办法》(证监会令第40号)第四十八条、《上市公司信息披露管理办法》(证监会令第182号)第四十一条规定,违反了《上市公司信息披露管理办法》(证监会令第40号)第二条第一款、《上市公司信息披露管理办法》(证监会令第182号)第三条第一款、《企业会计准则第36号——关联方披露》(财会〔2006〕3号)第十条规定,违反了《上市公司信息披露管理办法》(证监会令第40号)第二条第一款、《上市公司信息披露管理办法》(证监会令第182号)第三条第一款、《上市公司治理准则》(证监会公告〔2018〕29号)第六十八条、第六十九条规定,违反了《上市公司信息披露管理办法》(证监会令第40号)第二条第一款、《上市公司信息披露管理办法》(证监会令第182号)第三条第一款、《企业会计准则第14号——收入》(财会〔2017〕22号)第十三条规定,违反了《证券期货市场诚信监督管理办法》(证监会令第166号)第三十七条规定,违反了《上市公司信息披露管理办法》(证监会令第40号)第三条、《上市公司信息披露管理办法》(证监会令第182号)第四条规定。","2019;2020;2021;2022;2023;2024;2025;N/A","一、《决定书一》主要内容丁杰:经查,你在冰山冷热科技股份有限公司(以下简称冰山冷热)任职总经理兼副董事长期间,未准确报告2019年1月至11月兼职公司情况,导致冰山冷热未及时披露控股子公司与你兼职公司之间的关联交易。二、《决定书二》主要内容冰山冷热科技股份有限公司、纪志坚、宋文宝:经查,你公司存在如下问题:(一)关联方及关联交易披露不到位1.未关注时任总经理兼副董事长丁杰2019年1月至11月兼职公司及相关关联交易情况。2.2019年至2021年,未准确识别关联方大连神通电气有限公司。3.2024年年报关联交易合计数中遗漏一笔向联营企业小额设备采购。4.2024年8月,你公司参与项目竞标,合同约定相关机组由第三方自公司关联方采购后销售给公司,该交易应基于“实质重于形式”原则识别为关联交易。(二)公司治理缺乏独立性1.你公司员工同时保管和加盖你公司及大股东大连冰山集团有限公司(以下简称冰山集团)公章、法人章。2.你公司党群工作部、法务部等5个部门与冰山集团重叠,涉及多名员工为冰山集团提供对应部门职能的协助。3.你公司董秘宋文宝自2018年1月起在冰山集团行使法务部部长职权,且未在各年度年报“在控股股东任职情况”中披露。(三)部分成套设备工程业务收入确认不规范你公司时点法成套工程业务应在取得客户最终验收单时确认收入,2022年至2024年,你公司均存在下半年取得客户验收单,但在年中不定期部分确认收入的情形,影响公司半年报数据准确性。(四)未严格履行诚信档案查询义务2024年12月,你公司启动第十届董事会换届,未按要求查询候选人诚信档案。纪志坚作为公司董事长、宋文宝作为公司董秘,未完全做到忠实勤勉履职,对以上行为负有主要责任。","根据《上市公司信息披露管理办法》(证监会令第40号)第五十九条、《上市公司信息披露管理办法》(证监会令第182号)第五十二条规定,我局决定对丁杰采取监管谈话监管措施。根据《上市公司信息披露管理办法》(证监会令第40号)第五十八条、第五十九条、《上市公司信息披露管理办法》(证监会令第182号)第五十一条、第五十二条及《证券期货市场诚信监督管理办法》(证监会令第166号)第四十七条规定,我局决定对冰山冷热科技股份有限公司、纪志坚、宋文宝采取责令改正的行政监管措施。","","Y","其他","P2699",""
"40216569","000530","2026-03-02","2026-03-02","冰山冷热","冰山冷热科技股份有限公司","深圳证券交易所","关于对冰山冷热科技股份有限公司、纪志坚、宋文宝、丁杰的监管函","公司部监管函〔2026〕第29号","深圳证券交易所","重大遗漏、其他;其他;其他;虚假记载(误导性陈述)、其他;虚假记载(误导性陈述)、其他;虚假记载(误导性陈述)、其他;重大遗漏、其他;重大遗漏、其他","P2505、P2599;P2599;P2599;P2503、P2599;P2503、P2599;P2503、P2599;P2505、P2599;P2505、P2599","违反了本所《股票上市规则》(2018年11月修订)第1.4条、第2.1条、第10.2.4条,《股票上市规则》(2020年)第1.4条、第2.1条、第10.2.4条,《股票上市规则》(2024年修订)第1.4条、第2.1.1条第一款,以及《股票上市规则》(2025年修订)第1.4条、第4.1.2条的规定,违反了本所《股票上市规则》(2025年修订)第1.4条、4.3.1条第一款的规定,违反了本所《股票上市规则》(2018年11月修订)第1.4条、第2.2条、第3.1.5条第一款的规定。","2019;2020;2021;2022;2023;2024;2025;N/A","冰山冷热科技股份有限公司、纪志坚、宋文宝、丁杰:根据中国证监会大连监管局《关于对冰山冷热科技股份有限公司、纪志坚、宋文宝采取责令改正监管措施的决定》(行政监管措施〔2026〕7号)、《关于对丁杰采取监管谈话监管措施的决定》(行政监管措施〔2026〕6号)及本所查明的事实,你公司存在以下违规行为:一、关联方及关联交易披露不到位一是未关注时任总经理兼副董事长丁杰2019年1月至11月兼职公司及相关关联交易情况。二是2019年至2021年,未准确识别关联方大连神通电气有限公司。三是2024年年报关联交易合计数中遗漏一笔向联营企业小额设备采购。四是2024年8月,你公司参与项目竞标,合同约定相关机组由第三方自公司关联方采购后销售给公司,该交易应基于“实质重于形式”原则识别为关联交易。二、公司治理缺乏独立性一是你公司员工同时保管和加盖你公司及大股东大连冰山集团有限公司(以下简称冰山集团)公章、法人章。二是你公司党群工作部、法务部等5个部门与冰山集团重叠,涉及多名员工为冰山集团提供对应部门职能的协助。三是你公司董秘宋文宝自2018年1月起在冰山集团行使法务部部长职权,且未在各年度年报“在控股股东任职情况”中披露。三、部分成套设备工程业务收入确认不规范你公司时点法成套工程业务应在取得客户最终验收单时确认收入,2022年至2024年,你公司均存在下半年取得客户验收单,但在年中不定期部分确认收入的情形,影响公司半年报数据准确性。四、未严格履行诚信档案查询义务2024年12月,你公司启动第十届董事会换届,未按要求查询候选人诚信档案。你公司董事长纪志坚、董事会秘书宋文宝未能恪尽职守、履行诚信勤勉义务任。你公司时任总经理兼副董事长丁杰未能恪尽职守、履行诚信勤勉义务,对你公司上述违规行为一负有责任。","出具监管函。","","Y","其他","P2699",""
"40216645","000663","2026-03-13","2026-03-13","永安林业","福建省永安林业(集团)股份有限公司","深圳证券交易所","关于对天风证券股份有限公司给予通报批评处分的决定","深证上〔2026〕276号","深圳证券交易所","推迟披露","P2504","违反了本所《股票上市规则(2020年修订)》第1.4条、第2.3条和第11.8.1条第一款的规定。","2021","根据中国证券监督管理委员会福建监管局《行政处罚决定书》(〔2026〕2号)查明的事实,天风证券股份有限公司(以下简称天风证券)存在以下违规行为:2021年12月31日,福建省泉州市中级人民法院作出《执行裁定书》,裁定将被执行人苏某旭、福建南安雄创投资中心(有限合伙)合计持有的41,372,005股福建省永安林业(集团)股份有限公司(以下简称永安林业)股票及红利交付天风证券抵偿相关债务,并载明“上述财产权自本裁定送达申请执行人时起转移”。当日,天风证券作为申请执行人签收了上述《执行裁定书》,其持有的永安林业股票占永安林业总股本的12.29%。天风证券迟至2022年2月23日、2022年3月7日才分别向永安林业发出《告知函》《简式权益变动报告书》,永安林业在2022年2月24日、2022年3月9日分别披露《关于持股5%以上股东所持公司部分股份被司法裁定过户的公告》《简式权益变动报告书》。","鉴于上述违规事实及情节,依据本所《股票上市规则(2020年修订)》第16.2条的规定,经本所自律监管纪律处分委员会审议通过,本所作出如下处分决定:对天风证券股份有限公司给予通报批评的处分。","","N","","",""
"40216646","000663","2026-03-13","2026-03-13","永安林业","福建省永安林业(集团)股份有限公司","深圳证券交易所","关于对王琳晶给予通报批评处分的决定","深证上〔2026〕277号","深圳证券交易所","推迟披露、其他","P2504、P2599","违反了本所《股票上市规则(2020年修订)》第1.4条的规定。","2021","根据中国证券监督管理委员会福建监管局《行政处罚决定书》(〔2026〕3号)查明的事实,王琳晶存在以下违规行为:2021年12月31日,福建省泉州市中级人民法院作出《执行裁定书》,裁定将被执行人苏某旭、福建南安雄创投资中心(有限合伙)合计持有的41,372,005股福建省永安林业(集团)股份有限公司(以下简称永安林业)股票及红利交付天风证券股份有限公司(以下简称天风证券)抵偿相关债务,并载明“上述财产权自本裁定送达申请执行人时起转移”。当日,天风证券作为申请执行人签收了上述《执行裁定书》,其持有的永安林业股票占永安林业总股本的12.29%。天风证券迟至2022年2月23日、2022年3月7日才分别向永安林业发出《告知函》《简式权益变动报告书》,永安林业在2022年2月24日、2022年3月9日分别披露《关于持股5%以上股东所持公司部分股份被司法裁定过户的公告》《简式权益变动报告书》。王琳晶作为天风证券总裁,于2021年12月31日知悉天风证券收到上述《执行裁定书》后,未及时组织天风证券履行永安林业持股变动信息披露义务,对上述违规行为负有重要责任。","鉴于上述违规事实及情节,依据本所《股票上市规则(2020年修订)》第16.2条的规定,经本所自律监管纪律处分委员会审议通过,本所作出如下处分决定:对王琳晶给予通报批评的处分。","","N","","",""
"40216888","000735","2026-03-20","2026-03-21","罗牛山","罗牛山股份有限公司","上市公司","关于收到海南证监局行政监管措施决定书的公告","〔2026〕10号","其他(海南证监局)","推迟披露、其他","P2504、P2599","违反了《上市公司信息披露管理办法》(证监会令第182号)第三条第一款、第二十二条第一款、《上市公司信息披露管理办法》(证监会令第226号)第三条第一款、第二十三条第一款的规定,未按照《上市公司信息披露管理办法》(证监会令第182号)第四条、第五十一条第二款、《上市公司信息披露管理办法》(证监会令第226号)第四条、第五十二条第二款的规定。","2026","罗牛山股份有限公司、徐自力、张慧:罗牛山股份有限公司2026年1月10日披露的公告显示,罗牛山此前收到国家税务总局海口市美兰区税务局送达的《税务通知书》,核定公司在海南省农村商业银行改制重组过程中的股权处置事宜应补缴企业所得税40,540,739元。经查,罗牛山知悉相关涉税事项及进展后未及时履行信息披露义务,徐自力作为公司董事长、总裁,张慧作为公司董事会秘书,未按规定履行勤勉尽责义务,对公司上述违规行为负有主要责任。","根据《上市公司信息披露管理办法》(证监会令第226号)第五十三条第三项的规定,我局决定对罗牛山股份有限公司及徐自力、张慧采取出具警示函的行政监管措施。","","Y","其他","P2699",""
"40216894","000735","2026-03-20","2026-03-20","罗牛山","罗牛山股份有限公司","深圳证券交易所","关于对罗牛山股份有限公司、徐自力、张慧的监管函","公司部监管函〔2026〕第35号","深圳证券交易所","推迟披露、其他","P2504、P2599","违反了本所《股票上市规则(2025年修订)》第1.4条、第2.1.1条第一款、第7.7.7条的规定务,违反了《股票上市规则(2025年修订)》第1.4条、第2.1.2条第一款、第4.3.1条第一款的规定,违反了《股票上市规则(2025年修订)》第1.4条、第2.1.2条第一款、第4.3.1条第一款、第4.4.2条的规定。","2026","罗牛山股份有限公司、徐自力、张慧:2026年1月10日,你公司披露《关于公司涉税事项的公告》,国家税务总局海口市美兰区税务局此前向你公司送达《税务事项通知书》(海口美兰税局通〔2025〕1号),核定你公司应补缴企业所得税40,540,739.00元。你公司知悉上述涉税相关事项及其进展后未及时履行信息披露义务。你公司董事长徐自力未能恪尽职守、履行忠实勤勉义务,对公司上述违规行为负有主要责任。你公司董事会秘书张慧未能恪尽职守、履行忠实勤勉义务,对公司上述违规行为负有主要责任。","出具监管函。","","Y","其他","P2699",""
"40216284","000826","2026-02-12","2026-02-12","启迪环境","启迪环境科技发展股份有限公司","上市公司","关于间接全资子公司收到《税务行政处罚决定书》及《税务处理决定书》的公告","安税稽二罚[2026]1号,安税稽二处[2026]2号","其他(国家税务总局安阳市税务局第二稽查局)","偷税;偷税;偷税;偷税;偷税;偷税;偷税;偷税;偷税;偷税","P2516;P2516;P2516;P2516;P2516;P2516;P2516;P2516;P2516;P2516","","2012;2013;2014;2015;2016;2017;2018;2019;2020;2021","安阳市税务局第二稽查局于2025年11月20日至2026年1月29日对安阳久佳2012年3月23日至2021年12月31日期间取得曲沟镇飞飞建材门市部已证实虚开的增值税普通发票涉税情况进行了检查。安阳久佳存在违法事实及处罚决定如下:1、违法事实及证据①取得曲沟镇飞飞建材门市部虚开的普通发票,并在企业所得税税前列支成本。安阳久佳取得曲沟镇飞飞建材门市部2012年7月至2021年11月期间虚开的增值税普通发票100元面值41941份,金额4194100元;50元面值2628份,金额131400元;代开普通发票18份,金额604702.12元,共计44587份,金额4930202.12元,已全部入账,分别计入生产成本、采购土、膜等科目,商品名称多为膜、药剂、土等。②安阳久佳与曲沟镇飞飞建材门市部之间货物交易不真实,取得曲沟镇飞飞建材门市部发票少缴税款。安阳久佳具体的管理由冯银秋负责,实际经营人为冯银秋,曲沟镇飞飞建材门市部的法定代表人冯飞飞是冯银秋的女儿,实际经营人也是冯银秋,曲沟镇飞飞建材门市部没有具体业务,专门向安阳久佳环保服务有限公司开具定额发票,每个月初曲沟镇飞飞建材门市部会计邵瑞玲到税务机关购买三、四万元的定额发票,开具给安阳久佳环保服务有限公司,安阳久佳环保服务有限公司以购买土壤和土壤覆盖地膜的名义入账,款项由安阳久佳环保服务有限公司转到曲沟镇飞飞建材门市部的对公银行账户上,再转到冯银秋、宁月波的个人银行卡上。转账只是为了通过对公账户周转款项,没有实际业务。安阳久佳环保服务有限公司从曲沟镇飞飞建材门市部购买土、膜、药剂的业务虚假,货物交易不真实,取得曲沟镇飞飞建材门市部发票在企业所得税税前列支成本,造成少缴税款,2012至2021年合计少缴企业所得税1,143,801.47元。③交易资金异常,存在资金回流。2012年8月以来,安阳久佳向曲沟镇飞飞建材门市部转账23笔,共计4,154,786.71元;曲沟镇飞飞建材门市部向实际控制人冯银秋的前妻宁月波转账9笔,共计1,233,300元,向实际控制人冯银秋转账11笔,共计2,918,200元(总计4,151,500元),存在资金回流。2020年9月以后安阳久佳未再向曲沟镇飞飞建材门市部付过款。综合以上调查,安阳久佳取得曲沟镇飞飞建材门市部2012年7月至2021年11月期间虚开的增值税普通发票共计44587份,金额4,930,202.12元,存在资金回流,实际控制人冯银秋以亲属名义开办企业为自已虚开发票入账,在企业所得税前列支成本,造成少缴税款,2012至2021年合计少缴企业所得税1,143,801.47元,该行为构成偷税,偷税金额1,143,801.47元。","根据《中华人民共和国税收征收管理法》第六十三条第一款之规定,参照《中南区域税务行政处罚裁量基准》,安阳久佳偷税行为属于“较重”裁量阶次,处少缴税款1,143,801.47元的1.2倍罚款1,372,561.75元。根据《中华人民共和国企业所得税法》第一条、第五条、第八条及《企业所得税税前扣除凭证管理办法》(国家税务总局公告2018年第28号)第十二条之规定,安阳久佳取得曲沟镇飞飞建材门市部2012年7月至2021年11月期间开具的增值税普通发票44587份,金额4,930,202.12元,不得作为企业所得税税前扣除凭证,2012至2021年合计应补缴企业所得税1,143,801.47元。根据《中华人民共和国税收征管法》第三十二条之规定,从滞纳税款之日起,按日加收滞纳税款万分之五的滞纳金。","1372561.75","N","","",""
"40217002","000980","2026-03-27","2026-03-27","众泰汽车","众泰汽车股份有限公司","深圳证券交易所","关于对众泰汽车股份有限公司、李立忠、韩必文、王伊安的监管函","公司部监管函〔2026〕第37号","深圳证券交易所","推迟披露、其他;推迟披露、其他;推迟披露、其他","P2504、P2599;P2504、P2599;P2504、P2599","违反了本所《股票上市规则(2025年修订)》第1.4条、第2.1.1条、第7.7.7条应当及时披露其他重大事项的相关规定,违反了本所《股票上市规则(2025年修订)》第1.4条、第2.1.2条第一款、第4.3.1条第一款的规定,违反了本所《股票上市规则(2025年修订)》第1.4条、第2.1.2条第一款、第4.3.1条第一款、第4.4.2条第(一)项的规定。","2023;2024;2025","根据众泰汽车股份有限公司(以下简称众泰汽车或公司)重整计划安排,公司应分别于2023年12月21日、2024年12月21日、2025年12月21日、2026年12月21日偿还重整留债本金的10%、20%、30%、40%。2025年12月21日,众泰汽车及子公司新增到期未偿还债务本金合计6,946.11万元,公司直至2026年1月27日才披露上述事项,你公司时任董事长李立忠、时任总经理韩必文未能恪尽职守、履行忠实勤勉义务,你公司时任董事会秘书王伊安未能恪尽职守、履行忠实勤勉义务。","出具监管函。","","Y","其他","P2699",""
"40217005","000980","2026-03-27","2026-03-28","众泰汽车","众泰汽车股份有限公司","上市公司","关于收到浙江证监局警示函的公告","【2026】59号","其他(浙江证监局)","推迟披露、其他;推迟披露、其他;推迟披露、其他","P2504、P2599;P2504、P2599;P2504、P2599","违反了《上市公司信息披露管理办法》(证监会令第226号)第三条第一款、第二十三条第二款第一项,违反了《上市公司信息披露管理办法》(证监会令第226号)第四条、第五十二条第二款规定。","2023;2024;2025","根据众泰汽车股份有限公司(以下简称“众泰汽车”或“公司”)重整计划安排,公司应分别于2023年12月21日、2024年12月21日、2025年12月21日、2026年12月21日偿还重整留债本金的10%、20%、30%、40%。2025年12月21日,众泰汽车及子公司新增到期未偿还债务本金合计6,946.11万元,公司直至2026年1月27日才披露上述事项。","根据《上市公司信息披露管理办法》(证监会令第226号)第五十三条的规定,我局决定对众泰汽车、李立忠、韩必文、王伊安采取出具警示函的行政监管措施。","","Y","其他","P2699",""
"40217286","001266","2026-02-28","2026-02-28","宏英智能","上海宏英智能科技股份有限公司","其他(中国证监会上海监管局)","关于对大信会计师事务所(特殊普通合伙)及张静娟、王晗采取出具警示函措施的决定","沪证监决〔2026〕64号","其他(上海证监局)","其他","P2599","不符合《中国注册会计师审计准则第1141号——财务报表审计中与舞弊相关的责任(2022年修订)》第二十七条的规定,不符合《中国注册会计师审计准则第1231号——针对评估的重大错报风险采取的应对措施(2022年修订)》第十五条、第十七条第二项及《中国注册会计师审计准则第1321号——会计估计和相关披露的审计(2022年修订)》第十五条第一款第一项的规定,不符合《中国注册会计师审计准则第1301号——审计证据(2022年修订)》第十条、第十五条第一项、《中国注册会计师审计准则第1312号——函证(2010年修订)》第十七条、第二十三条的规定,违反了《上市公司信息披露管理办法》(证监会令第182号)第四十五条第一款、第四十六条的规定。","2025","大信会计师事务所(特殊普通合伙)及张静娟、王晗:根据《中华人民共和国证券法》有关规定,我局对你们执行的上海宏英智能科技股份有限公司2024年年报审计项目进行了检查。经查,你们在执业中存在以下问题:一、风险评估方面未基于公司业务结构发生变化的背景评价可能导致舞弊风险的收入类型、交易或认定。二、控制测试方面一是未测试管理层作出与履约进度相关会计估计的控制有效性。二是未结合合同条款约定测试相关验收条款是否实际执行。三是未分析个别样本收入确认依据签收瑕疵产生原因并考虑是否需要追加控制测试。三、实质性程序方面一是未对个别项目收入确认获取充分、适当的审计证据。二是未关注个别询证函载明交付商品信息与合同约定不一致等可能对回函可靠性产生疑虑的因素、未在底稿中记录原因并考虑是否需要获取进一步审计证据。三是未对存货库龄及归属仓库划分适当性获取充分、适当的审计证据。张静娟、王晗作为上海宏英智能科技股份有限公司2024年度审计项目签字注册会计师,对项目相关问题应承担主要责任。","根据《上市公司信息披露管理办法》(证监会令第182号)第五十五条的规定,我局决定对你所及张静娟、王晗采取出具警示函的监督管理措施。","","N","","",""
